"_time","src_ip","dest_ip","alert.signature","alert.category"
"2016-08-11T03:07:17.484+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER PHP tags in HTTP POST","Web Application Attack"
"2016-08-11T03:07:17.341+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER auto_prepend_file PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.341+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER open_basedir PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.341+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER disable_functions PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.341+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER suhosin.simulation PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.341+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER safe_mode PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.341+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER allow_url_include PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.341+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER PHP tags in HTTP POST","Web Application Attack"
"2016-08-11T03:07:17.202+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER auto_prepend_file PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.202+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER open_basedir PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.202+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER disable_functions PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.202+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER suhosin.simulation PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.202+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER safe_mode PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.202+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER allow_url_include PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.202+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER PHP tags in HTTP POST","Web Application Attack"
"2016-08-11T03:07:17.043+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER auto_prepend_file PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.043+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER open_basedir PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.043+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER disable_functions PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.043+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER suhosin.simulation PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.043+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER safe_mode PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.043+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER allow_url_include PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:17.043+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER PHP tags in HTTP POST","Web Application Attack"
"2016-08-11T03:07:16.903+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER auto_prepend_file PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.903+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER open_basedir PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.903+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER disable_functions PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.903+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER suhosin.simulation PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.903+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER safe_mode PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.903+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER allow_url_include PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.903+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER PHP tags in HTTP POST","Web Application Attack"
"2016-08-11T03:07:16.753+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER auto_prepend_file PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.753+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER open_basedir PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.753+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER disable_functions PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.753+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER suhosin.simulation PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.753+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER safe_mode PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.753+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER allow_url_include PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.753+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER PHP tags in HTTP POST","Web Application Attack"
"2016-08-11T03:07:16.605+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER auto_prepend_file PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.605+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER open_basedir PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.605+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER disable_functions PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.605+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER suhosin.simulation PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.605+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER safe_mode PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.605+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER allow_url_include PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.605+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER PHP tags in HTTP POST","Web Application Attack"
"2016-08-11T03:07:16.465+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER auto_prepend_file PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.465+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER open_basedir PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.465+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER disable_functions PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.465+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER suhosin.simulation PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.465+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER safe_mode PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.465+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER allow_url_include PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:16.465+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER PHP tags in HTTP POST","Web Application Attack"
"2016-08-11T03:07:15.736+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible Oracle Reports Forms RCE CVE-2012-3152","Web Application Attack"
"2016-08-11T03:07:14.776+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Script tag in URI, Possible Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:07:02.520+0530","40.80.148.42","192.168.250.70","GPL EXPLOIT unicode directory traversal attempt","Web Application Attack"
"2016-08-11T03:07:02.420+0530","40.80.148.42","192.168.250.70","GPL EXPLOIT unicode directory traversal attempt","Web Application Attack"
"2016-08-11T03:07:02.321+0530","40.80.148.42","192.168.250.70","GPL EXPLOIT unicode directory traversal attempt","Web Application Attack"
"2016-08-11T03:07:02.227+0530","40.80.148.42","192.168.250.70","GPL EXPLOIT unicode directory traversal attempt","Web Application Attack"
"2016-08-11T03:07:02.132+0530","40.80.148.42","192.168.250.70","GPL EXPLOIT unicode directory traversal attempt","Web Application Attack"
"2016-08-11T03:07:00.830+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt","Attempted Administrator Privilege Gain"
"2016-08-11T03:07:00.830+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt in Headers","Attempted Administrator Privilege Gain"
"2016-08-11T03:07:00.725+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt","Attempted Administrator Privilege Gain"
"2016-08-11T03:07:00.725+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt in Headers","Attempted Administrator Privilege Gain"
"2016-08-11T03:07:00.584+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt","Attempted Administrator Privilege Gain"
"2016-08-11T03:07:00.584+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt in Headers","Attempted Administrator Privilege Gain"
"2016-08-11T03:07:00.437+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt","Attempted Administrator Privilege Gain"
"2016-08-11T03:07:00.437+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt in Headers","Attempted Administrator Privilege Gain"
"2016-08-11T03:07:00.297+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt","Attempted Administrator Privilege Gain"
"2016-08-11T03:07:00.297+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt in Headers","Attempted Administrator Privilege Gain"
"2016-08-11T03:07:00.146+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt","Attempted Administrator Privilege Gain"
"2016-08-11T03:07:00.146+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt in Headers","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:59.994+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:59.994+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt in Headers","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:59.851+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:59.851+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt in Headers","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:59.705+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:59.705+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt in Headers","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:59.554+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:59.554+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt in Headers","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:59.510+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:59.510+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt in Headers","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:59.258+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:59.258+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt in Headers","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:59.101+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:59.101+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt in Headers","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:58.915+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:58.915+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt in Headers","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:58.700+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:58.700+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt in Headers","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:58.066+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:58.066+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt in Headers","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:57.631+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER ColdFusion administrator access","Web Application Attack"
"2016-08-11T03:06:57.472+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:57.472+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt in Headers","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:57.106+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt","Attempted Administrator Privilege Gain"
"2016-08-11T03:06:57.106+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible CVE-2014-6271 Attempt in Headers","Attempted Administrator Privilege Gain"
"2016-08-11T03:08:03.114+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY.","A Network Trojan was detected"
"2016-08-11T03:08:03.018+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY.","A Network Trojan was detected"
"2016-08-11T03:08:02.905+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY.","A Network Trojan was detected"
"2016-08-11T03:08:02.635+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY.","A Network Trojan was detected"
"2016-08-11T03:08:02.505+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY.","A Network Trojan was detected"
"2016-08-11T03:08:02.398+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY.","A Network Trojan was detected"
"2016-08-11T03:08:02.147+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY.","A Network Trojan was detected"
"2016-08-11T03:08:02.046+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY.","A Network Trojan was detected"
"2016-08-11T03:08:01.929+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY.","A Network Trojan was detected"
"2016-08-11T03:08:01.649+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY.","A Network Trojan was detected"
"2016-08-11T03:08:01.523+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY.","A Network Trojan was detected"
"2016-08-11T03:08:01.394+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY.","A Network Trojan was detected"
"2016-08-11T03:08:01.149+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY.","A Network Trojan was detected"
"2016-08-11T03:08:01.035+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY.","A Network Trojan was detected"
"2016-08-11T03:08:00.853+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY.","A Network Trojan was detected"
"2016-08-11T03:08:00.517+0530","40.80.148.42","192.168.250.70","ET POLICY Incoming Basic Auth Base64 HTTP Password detected unencrypted","Potential Corporate Privacy Violation"
"2016-08-11T03:07:56.915+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER PHP.//Input in HTTP POST","A Network Trojan was detected"
"2016-08-11T03:07:56.915+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER auto_prepend_file PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:56.915+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER allow_url_include PHP config option in uri","A Network Trojan was detected"
"2016-08-11T03:07:56.915+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER PHP tags in HTTP POST","Web Application Attack"
"2016-08-11T03:07:54.730+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible IIS Integer Overflow DoS (CVE-2015-1635)","Web Application Attack"
"2016-08-11T03:07:54.191+0530","40.80.148.42","192.168.250.70","GPL WEB_SERVER Tomcat null byte directory listing attempt","Web Application Attack"
"2016-08-11T03:07:54.191+0530","40.80.148.42","192.168.250.70","GPL WEB_SERVER Tomcat directory traversal attempt","Web Application Attack"
"2016-08-11T03:07:54.090+0530","40.80.148.42","192.168.250.70","GPL WEB_SERVER Tomcat null byte directory listing attempt","Web Application Attack"
"2016-08-11T03:07:54.090+0530","40.80.148.42","192.168.250.70","GPL WEB_SERVER Tomcat directory traversal attempt","Web Application Attack"
"2016-08-11T03:07:53.970+0530","40.80.148.42","192.168.250.70","GPL WEB_SERVER Tomcat null byte directory listing attempt","Web Application Attack"
"2016-08-11T03:07:53.970+0530","40.80.148.42","192.168.250.70","GPL WEB_SERVER Tomcat directory traversal attempt","Web Application Attack"
"2016-08-11T03:07:51.570+0530","40.80.148.42","192.168.250.70","GPL WEB_SERVER .htpasswd access","Web Application Attack"
"2016-08-11T03:07:50.768+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY.","A Network Trojan was detected"
"2016-08-11T03:07:50.173+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY.","A Network Trojan was detected"
"2016-08-11T03:07:36.941+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible SQLi Attempt in User Agent (Inbound)","A Network Trojan was detected"
"2016-08-11T03:19:31.360+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Onmouseover= in URI - Likely Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:19:28.746+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER SQL Injection Select Sleep Time Delay","Web Application Attack"
"2016-08-11T03:19:28.746+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible SQL Injection Attempt SELECT FROM","Web Application Attack"
"2016-08-11T03:19:28.714+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Onmouseover= in URI - Likely Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:19:25.850+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Onmouseover= in URI - Likely Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:19:25.821+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Script tag in URI, Possible Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:19:24.529+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Script tag in URI, Possible Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:19:23.157+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Script tag in URI, Possible Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:19:18.992+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Script tag in URI, Possible Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:19:18.885+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER SQL Injection Select Sleep Time Delay","Web Application Attack"
"2016-08-11T03:19:18.885+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible SQL Injection Attempt SELECT FROM","Web Application Attack"
"2016-08-11T03:19:17.458+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Script tag in URI, Possible Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:19:16.006+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Script tag in URI, Possible Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:19:15.927+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Script tag in URI, Possible Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:19:14.463+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Script tag in URI, Possible Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:19:14.326+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER SQL Injection Select Sleep Time Delay","Web Application Attack"
"2016-08-11T03:19:14.326+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible SQL Injection Attempt SELECT FROM","Web Application Attack"
"2016-08-11T03:19:13.188+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Onmouseover= in URI - Likely Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:19:11.769+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Script tag in URI, Possible Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:19:10.278+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Script tag in URI, Possible Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:19:10.182+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Onmouseover= in URI - Likely Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:19:07.480+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Onmouseover= in URI - Likely Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:19:01.869+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER SQL Injection Select Sleep Time Delay","Web Application Attack"
"2016-08-11T03:19:01.869+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible SQL Injection Attempt SELECT FROM","Web Application Attack"
"2016-08-11T03:19:00.450+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Script tag in URI, Possible Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:18:59.126+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Script tag in URI, Possible Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:18:57.695+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Script tag in URI, Possible Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:18:54.845+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Onmouseover= in URI - Likely Cross Site Scripting Attempt","Web Application Attack"
"2016-08-11T03:18:53.453+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER SQL Injection Select Sleep Time Delay","Web Application Attack"
"2016-08-11T03:18:53.453+0530","40.80.148.42","192.168.250.70","ET WEB_SERVER Possible SQL Injection Attempt SELECT FROM","Web Application Attack"
